Código;nombre;precio
10030;"BROCHA CONDOR PROFESIONAL 1/2 X 1"" CONDOR(1001619791) (E12)";2560
10031;"BROCHA CONDOR PROFESIONAL 1/2 X 1 1/2"" CONDOR (1001619792) (E12)";3110
10032;"BROCHA CONDOR PROFESIONAL 1/2 X 2"" CONDOR (1001619793)(E12)";3210
10033;"BROCHA CONDOR PROFESIONAL 1/2 X 2 1/2"" CONDOR (100169794) (E12)";5640
10034;"BROCHA CONDOR PROFESIONAL 1/2 X 3"" CONDOR (1001619795) (E12)";4860
10035;"BROCHA CONDOR PROFESIONAL 1/2 X 4"" CONDOR (1001619796) (E12)";8650
10153;PITILLA RAFIA BOBINA  800 GRS  KRAUSSER (E-50)  (213-200126);12240
10157;PITILLA RAFIA OVILLO 100 GRS KRAUSER  (E-50) (213-200103);2310
10187;TUBO PVC SANITARIO 40 MM X TIRA 6 MTS  (41500) (E1);6200
10188;TUBO PVC SANITARIO 50 MM X TIRA 6 MTS (41501)  (E1);7420
10189;TUBO PVC SANITARIO 75 MM X TIRA 6 MTS  (41502) (E1);11290
10190;TUBO PVC SANITARIO 110 MM X TIRA 6 MTS  (41503) (E1);11322
10194;TUBO CONDUIT CIV 16MM 6MT C/CAMPANA  (E20);1810
10195;TUBO CONDUIT CIV 20MM 6MT C/CAMPANA NOVOPLAST (01.03.020)(40055)(E1);2970
10196;TUBO CONDUIT CIII 25MM 6MT NOVOPLAST (01.03.030)(50572)(E1);3440
10197;TUBO CONDUIT CIII 32MM 6MT NOVOPLAST (01.03.040)(50573)(E1);5770
10198;TUBO CONDUIT CII 40MM 6MT NOVOPLAST (01.03.050)(41322)(E1);6350
10200;TUBO CONDUIT CII 50MM 6MT NOVOPLAST (01.03.065)(E1);8603
10209;TUBO PVC HIDRAULICO C/16 (20 MM) X TIRA 6 MTS (45080) (E20);1870
10210;TUBO PVC HIDRAULICO C/12.5 (25 MM) X TIRA 6 MTS (45060) (E20);2460
10211;TUBO PVC HIDRAULICO C/10 (32 MM) X TIRA 6 MTS (45040) (E10);3520
10212;TUBO PVC HIDRAULICO C/10 (40 MM) X TIRA 6 MTS  (45041) (E1);4780
10213;TUBO PVC HIDRAULICO C/10 (50 MM) X TIRA 6 MTS (45042) (E1);7210
10215;TUBO PVC HIDRAULICA C/10 (75 MM) X TIRA 6 MTS (45044) (E1);26150
10216;TUBO PVC HIDRAULICO C/10 (90 MM) X TIRA 6 MTS (45045) (E1);25758
10217;TUBO PVC HIDRAULICO C/10 (110 MM) X TIRA 6 MTS (45046) (E1);27460
10219;TUBO PVC HIDRAULICO C/10 (125 MM) X TIRA 6 MTS  (45047) (E1);49540
10224;"MANGUERA CHORIZO LIQUIFLEX 2"" PETROF R-50  (350634)";8320
10225;"MANGUERA CHORIZO LIQUIFLEX 3"" PETROF  R-25 (350640)";18040
10227;"MANGUERA CHORIZO LIQUIFLEX 4"" PETROF R-25  (350607)";29330
10334;ANGULO LAMINADO 50 X 6MM (TIRA 6MT) 26.82 kg;62996
10375;CABALLETE GALVANIZADO 0.35 ESP X 30 CM X 2 MT (1500032) (E1);3670
10434;AGOREX 60 ADHESIVO CONTACTO 1/32  (120 CC) GL HENKEL (284614) (E48);4800
10435;AGOREX 60 ADHESIVO CONTACTO 1/16 GL HENKEL (284615) (E24);8351
10436;AGOREX 60 ADHESIVO CONTACTO 1/4 GL HENKEL (284616) (E12);20030
10437;AGOREX 60 ADHESIVO CONTACTO 1 GL HENKEL (284617) (E6);62660
10438;AGOREX  ADHESIVO VINILICO  1 GL HENKEL (2300254) (E4);53990
10441;AGOREX SELLADOR ACRILICO PL600  (BLANCO) 300 ML HENKEL (1002994121) (E12);8140
10449;AGOREX TAPAGOTERAS 900 GRS HENKEL (1445388) (E12);16680
10450;AGOREX TAPAGOTERAS 1 GL HENKEL (2300255) (E4);67970
10455;AGOREX TAPAGOTERAS CARTUCHO 310 ML HENKEL (1702031) (E12);16340
10467;AGOREX ADHESIVO MONTAJE PL500 - 800GRS HENKEL (1444596) (E12);14100
10468;AGOREX ADHESIVO MONTAJE PL500 - 1 GL HENKEL (1444595) (E6);43430
10486;TIERRA ROJA IMPORT  1 KG UNIVERSAL (241-1);2495
10540;SOLDADURA ESTAÑO 50% CARRETE 1/2KG INDEPP(101-01)(E10);30960
10544;PASTA SOLDAR 50GR INDEPP(201-01)(E18);2560
10545;PASTA SOLDAR 100GR INDEPP(201-02)(E12);2321
10546;PASTA SOLDAR 250GR INDEPP(201-03)(E12);6759
10547;PASTA SOLDAR 500GR INDEPP(201-04)(E6);7631
10578;MASILLA MAGICA TRAD GL. S/CATAL (e=4);57210
10580;MASILLA MAGICA TRAD 700 ML. S/CATAL  (e=12);13680
10581;MASILLA MAGICA TRAD 350 ML.S/CATAL (e=24);7160
10583;CATALIZADOR GRANDE P/MASILLA 28 GRS. (e=40);2650
10584;CATALIZADOR CHICO P/MASILLA 14 GRS. (e=50);2070
10687;POXIPOL 10MIN METALICO 14ML (0111012)(E6);7501
10688;POXIPOL 10MIN TRANSPARENTE 14ML (0111013)(E6);7501
10690;POXIPOL 10MIN TRANSPARENTE 70ML (0111015)(E1);19160
10691;LA GOTITA CÁPSULA2ML (0112016)(E6);3362
10692;POXILINA 10MIN 38ML  (0113022)(E6);7501
10693;POXILINA 10 MIN 155ML. (0113024)(E1);21139
10705;"(CD) MALLA GALLINERO 3/4"" X 22 X 1.00 X MT VISTEEL (R-50 MTS)";1790
10759;"CLAVO CTE 1 1/4"" GRANEL  X KG PRODA (CL5520)";5670
10760;"CLAVO CTE 1 1/2""  BOLSA DE 1 KG  (E-25) (CL5514)";3570
10761;"(CD) CLAVO CTE 2""  BOLSA DE 1 KG  (E-25) (CL5510)";2620
10765;"CLAVO CTE 5""  BOLSA DE 1 KG  (E-25) (CL5502)";3180
10766;"CLAVO CTE 6""  BOLSA DE 1 KG  PRY-MET (E-20)";3180
10770;"GRAPAS GALV 3/4"" GRANEL X KG PRODA (GR0314)";5670
10772;GRAPAS GALV 1 1/4 BOLSA 1 KG  (E-CJA 25);3980
10773;"GRAPAS GALV 1 1/2""  BOLSA 1 KG";4880
10775;"PUNTA CTE 3/4"" GRANEL X KG PRODA (CL1016)";4380
10776;"PUNTA CTE 1"" GRANEL X KG PRODA (CL1015)";4870
10777;"PUNTA CTE 1 1/4"" GRANEL X KG PRODA (CL5634)";4290
10780;"PUNTA CTE 2 1/2"" GRANEL X KG PRODA (CL5631)";4870
10790;SIKA - 1 TAMB. 200 KG SIKA (463837)(E1);176920
10792;SIKA - 1 TIN. 18 LT SIKA (463838)(E1);37700
10793;SIKA - 1 BIDON 4.5 LT SIKA (463839)(E4);14570
10798;IGOL INCOLORO GL. 3 LT. SIKA (463545)(E4);20220
10800;IGOL PRIMER TINETA 16 LT. SIKA (463355)(E1);106620
10801;IGOL PRIMER GL. 3 LT. SIKA (463356)(E4);27460
10803;IGOL DENSO TINETA 16 LT. SIKA (463546)(E4);102870
10804;IGOL DENSO GL. 3 LT. SIKA (463547)(E4);30650
10810;IGOL LADRILLO GL.3 KG. SIKA (463590)(E4);23367
10815;SIKA - 3 TAMB. 250 KG SIKA (463899)(E1);267013
10816;SIKA - 3 TINETA 18 KG SIKA (463900)(E4);40800
10820;SIKADUR 32 (A+B) 1 KG SIKA (464128)(E6);27020
10821;SIKADUR 31 (A+B) 1 KG SIKA (93548)(E6);22560
10829;SIKAFLEX 11FC GRIS CARTUCHO 300 GR SIKA (756950)(E12);15350
10837;ANTISOL TINETA 18 LT SIKA (463909)(E4);58190
10838;SIKAFORM DESM/ MADERA TIN. 16 LT SIKA (167972)(E4);117120
10876;ANTICORROSIVO ROJO MAESTRANZA 1/4 GL SOQUINA (20433404)(E6);7500
10878;ANTICORROSIVO ROJO MAESTRANZA LATA SOQUINA (20433405)(E1);96530
10881;ANTICORROSIVO GRIS PERLA 1/4 GL SOQUINA (20360004)(E6);7500
10882;ANTICORROSIVO GRIS PERLA GL SOQUINA (20360001)(E1);21170
10958;ANTICORROSIVO ROJO MAESTRANZA GL SOQUINA (20433401)(E1);22330
10968;PINTURA TRAFICO CONTRASTE AMARILLA GL CERESITA (12216501)(E1);33860
10969;PINTURA TRAFICO CONTRASTE BLANCO GL CERESITA (12023601)(E1);32000
11006;PASTA MURO INTERIOR F-6 TAJAMAR (1 KG) 38111010 (E8);1860
11008;PASTA MURO INTERIOR F-15 TAJAMAR (GL) 39111001 (E8);7420
11010;PASTA MURO EXTERIOR A-1 TAJAMAR (1 KG) (34111010) (E8);2638
11012;PASTA MURO INTERIOR F- 6 TAJAMAR (GL) 38111001 (E1);7979
11014;PASTA MURO EXTERIOR A-1 TAJAMAR (GL) (34111001) (E1);14700
11021;(CD) RUEDA CARRETILLA NEUMATICA 350 X 8 URO y/o Otros (E1) (102330703);13920
11022;RUEDA CARRETILLA MACIZA (GRIS)  350X8;13350
11058;ACIDO MURIATICO (DIDEVAL) Y/O (PASSOL) 1 LT (E20);1766
11071;SODA CAUSTICA BOLSA 1/2KG DIDEVAL(SODA002)(E40);2540
11102;"GOLILLA PLANA CTE. 1/4"" (E200) (PGCC-200)";30
11104;"GOLILLA PLANA CTE. 5/16"" (E200) (PGCF-200)";30
11106;"GOLILLA PLANA CTE. 3/8"" (E200) (PGCE-200)";50
11111;"GOLILLA PLANA CTE. 1/2""(E200) (PGCB-200)";60
11112;"GOLILLA PLANA CTE. 5/8"" (E200) (PGCG-200)";110
11114;"GOLILLA PLANA CTE. 3/4"" (E200) (PGCD-200)";200
11118;"GOLILLA PLANA CTE. 1"" (E100) (PGBZ-100)";300
11129;ROLLO MANGA POLIETILENO TRANSP VIRGEN 4MTX0,20 MICRAS (35 MT LINEALES APROX)(E1);128480
11146;ZINC ALUM LISO 0.35 X 2,00 MT (1200055) (4.92 KG) VILLAL (E1);8880
11148;ZINC ALUM LISO 0.35 X 3,00 MT (1200057) (7.88 KG) VILLAL (E1);13050
11193;ESCALERA ARTICULADA 12 PELD. EXTENS. 3,55 MTS.150 KG EAM-PRO/ DOER (E1);58295
11196;ESCALA TIJERA ALUMINIO 3 PELD + BASE 1.21 MT (90 KG) WINNER (204)  (E1);62580
11197;ESCALA TIJERA ALUMINIO 4 PELD+ BASE 1.52 MT (90 KG) WINNER (205) (E1);77050
11198;ESCALA TIJERA ALUMINIO 5 PELD + BASE 1.82 MT (90 KG) WINNER (206) (E1);80290
11212;"BOLSA 2 UNIDADES POMEL 3/8""  FERROMAT (LPAD-002) (E50)";970
11213;"BOLSA 2 UNIDADES POMEL 1/2"" FERROMAT (LPAB-002)(E50)";1580
11214;"BOLSA 2 UNIDADES POMEL 5/8"" FERROMAT (LPAE-002)(E50)";2270
11215;"BOLSA 2 UNIDADES POMEL 3/4"" FERROMAT(LPAC-002)(E50)";2570
11216;"BOLSA 2 UNIDADES POMEL 1"" FERROMAT (LPAA-002)(E50)";4400
